,home_team,away_team,home_goals,away_goals,home_goals_half,away_goals_half,matchweek
189,RB Leipzig ,1. FC Köln ,3,1,1,0,22
190,Eintracht Frankfurt ,VfL Wolfsburg ,0,2,0,1,22
191,Bor. Mönchengladbach ,FC Augsburg ,3,2,1,0,22
192,SC Freiburg ,1. FSV Mainz 05 ,1,1,0,1,22
193,VfL Bochum ,Bayern München ,4,2,4,1,22
194,SpVgg Greuther Fürth ,Hertha BSC ,2,1,1,0,22
195,Bayer 04 Leverkusen ,VfB Stuttgart ,4,2,1,0,22
196,1. FC Union Berlin ,Borussia Dortmund ,0,3,0,2,22
197,TSG Hoffenheim ,Arminia Bielefeld ,2,0,1,0,22
198,1. FSV Mainz 05 ,Bayer 04 Leverkusen ,3,2,0,1,23
199,VfL Wolfsburg ,TSG Hoffenheim ,1,2,1,0,23
200,VfB Stuttgart ,VfL Bochum ,1,1,0,0,23
201,FC Augsburg ,SC Freiburg ,1,2,1,2,23
202,Arminia Bielefeld ,1. FC Union Berlin ,1,0,0,0,23
203,1. FC Köln ,Eintracht Frankfurt ,1,0,0,0,23
204,Bayern München ,SpVgg Greuther Fürth ,4,1,0,1,23
205,Borussia Dortmund ,Bor. Mönchengladbach ,6,0,2,0,23
206,Hertha BSC ,RB Leipzig ,1,6,0,1,23
207,TSG Hoffenheim ,VfB Stuttgart ,2,1,0,0,24
208,Bayer 04 Leverkusen ,Arminia Bielefeld ,3,0,1,0,24
209,1. FC Union Berlin ,1. FSV Mainz 05 ,3,1,1,0,24
210,Bor. Mönchengladbach ,VfL Wolfsburg ,2,2,1,2,24
211,SC Freiburg ,Hertha BSC ,3,0,1,0,24
212,SpVgg Greuther Fürth ,1. FC Köln ,1,1,0,0,24
213,Eintracht Frankfurt ,Bayern München ,0,1,0,0,24
214,VfL Bochum ,RB Leipzig ,0,1,0,0,24
215,FC Augsburg ,Borussia Dortmund ,1,1,0,1,24
216,Arminia Bielefeld ,FC Augsburg ,0,1,0,0,25
217,Bayern München ,Bayer 04 Leverkusen ,1,1,1,1,25
218,RB Leipzig ,SC Freiburg ,1,1,0,1,25
219,VfL Wolfsburg ,1. FC Union Berlin ,1,0,1,0,25
220,Hertha BSC ,Eintracht Frankfurt ,1,4,0,1,25
221,VfL Bochum ,SpVgg Greuther Fürth ,2,1,1,0,25
222,VfB Stuttgart ,Bor. Mönchengladbach ,3,2,1,2,25
223,1. FC Köln ,TSG Hoffenheim ,0,1,0,0,25
224,1. FSV Mainz 05 ,Borussia Dortmund ,0,1,0,0,25
225,1. FC Union Berlin ,VfB Stuttgart ,1,1,1,0,26
226,SC Freiburg ,VfL Wolfsburg ,3,2,2,0,26
227,TSG Hoffenheim ,Bayern München ,1,1,1,1,26
228,Bor. Mönchengladbach ,Hertha BSC ,2,0,1,0,26
229,Bayer 04 Leverkusen ,1. FC Köln ,0,1,0,0,26
230,Borussia Dortmund ,Arminia Bielefeld ,1,0,1,0,26
231,Eintracht Frankfurt ,VfL Bochum ,2,1,0,1,26
232,SpVgg Greuther Fürth ,RB Leipzig ,1,6,1,4,26
233,FC Augsburg ,1. FSV Mainz 05 ,2,1,1,0,26
"235,VfL Bochum ,Bor. Mönchengladbach ,0,2,g,"""
",27
236,VfB Stuttgart ,FC Augsburg ,3,2,1,2,27
237,1. FSV Mainz 05 ,Arminia Bielefeld ,4,0,1,0,27
238,Hertha BSC ,TSG Hoffenheim ,3,0,1,0,27
239,SpVgg Greuther Fürth ,SC Freiburg ,0,0,0,0,27
240,Bayern München ,1. FC Union Berlin ,4,0,3,0,27
241,RB Leipzig ,Eintracht Frankfurt ,0,0,0,0,27
242,VfL Wolfsburg ,Bayer 04 Leverkusen ,0,2,0,0,27
243,1. FC Köln ,Borussia Dortmund ,1,1,1,1,27
244,1. FC Union Berlin ,1. FC Köln ,1,0,0,0,28
245,Eintracht Frankfurt ,SpVgg Greuther Fürth ,0,0,0,0,28
246,Bayer 04 Leverkusen ,Hertha BSC ,2,1,2,1,28
247,SC Freiburg ,Bayern München ,1,4,0,0,28
248,TSG Hoffenheim ,VfL Bochum ,1,2,0,1,28
249,Arminia Bielefeld ,VfB Stuttgart ,1,1,0,1,28
250,Borussia Dortmund ,RB Leipzig ,1,4,0,2,28
251,FC Augsburg ,VfL Wolfsburg ,3,0,1,0,28
252,Bor. Mönchengladbach ,1. FSV Mainz 05 ,1,1,1,0,28
254,VfB Stuttgart ,Borussia Dortmund ,0,2,0,1,29
255,Bayern München ,FC Augsburg ,1,0,0,0,29
256,VfL Wolfsburg ,Arminia Bielefeld ,4,0,2,0,29
257,1. FC Köln ,1. FSV Mainz 05 ,3,2,0,1,29
258,SpVgg Greuther Fürth ,Bor. Mönchengladbach ,0,2,0,2,29
259,Hertha BSC ,1. FC Union Berlin ,1,4,0,1,29
260,VfL Bochum ,Bayer 04 Leverkusen ,0,0,0,0,29
261,Eintracht Frankfurt ,SC Freiburg ,1,2,0,1,29
262,RB Leipzig ,TSG Hoffenheim ,3,0,3,0,29
263,Borussia Dortmund ,VfL Wolfsburg ,6,1,5,0,30
264,SC Freiburg ,VfL Bochum ,3,0,2,0,30
265,1. FSV Mainz 05 ,VfB Stuttgart ,0,0,0,0,30
266,FC Augsburg ,Hertha BSC ,0,1,0,0,30
267,Bor. Mönchengladbach ,1. FC Köln ,1,3,0,3,30
268,Arminia Bielefeld ,Bayern München ,0,3,0,2,30
269,1. FC Union Berlin ,Eintracht Frankfurt ,2,0,2,0,30
270,TSG Hoffenheim ,SpVgg Greuther Fürth ,0,0,0,0,30
271,Bayer 04 Leverkusen ,RB Leipzig ,0,1,0,0,30
272,VfL Wolfsburg ,1. FSV Mainz 05 ,5,0,5,0,31
273,RB Leipzig ,1. FC Union Berlin ,1,2,0,0,31
274,Eintracht Frankfurt ,TSG Hoffenheim ,2,2,1,1,31
275,SC Freiburg ,Bor. Mönchengladbach ,3,3,0,2,31
276,1. FC Köln ,Arminia Bielefeld ,3,1,2,1,31
277,SpVgg Greuther Fürth ,Bayer 04 Leverkusen ,1,4,1,2,31
278,Bayern München ,Borussia Dortmund ,3,1,2,0,31
279,VfL Bochum ,FC Augsburg ,0,2,0,2,31
280,Hertha BSC ,VfB Stuttgart ,2,0,1,0,31
281,1. FC Union Berlin ,SpVgg Greuther Fürth ,1,1,0,1,32
282,Borussia Dortmund ,VfL Bochum ,3,4,2,2,32
283,VfB Stuttgart ,VfL Wolfsburg ,1,1,0,1,32
284,1. FSV Mainz 05 ,Bayern München ,3,1,2,1,32
285,FC Augsburg ,1. FC Köln ,1,4,0,2,32
286,Arminia Bielefeld ,Hertha BSC ,1,1,0,0,32
287,TSG Hoffenheim ,SC Freiburg ,3,4,1,1,32
288,Bayer 04 Leverkusen ,Eintracht Frankfurt ,2,0,1,0,32
289,Bor. Mönchengladbach ,RB Leipzig ,3,1,2,1,32
290,VfL Bochum ,Arminia Bielefeld ,2,1,1,1,33
291,SC Freiburg ,1. FC Union Berlin ,1,4,0,3,33
292,TSG Hoffenheim ,Bayer 04 Leverkusen ,2,4,2,1,33
293,1. FC Köln ,VfL Wolfsburg ,0,1,0,1,33
294,SpVgg Greuther Fürth ,Borussia Dortmund ,1,3,0,1,33
295,Hertha BSC ,1. FSV Mainz 05 ,1,2,1,1,33
296,Eintracht Frankfurt ,Bor. Mönchengladbach ,1,1,0,1,33
297,Bayern München ,VfB Stuttgart ,2,2,2,1,33
298,RB Leipzig ,FC Augsburg ,4,0,1,0,33
299,Borussia Dortmund ,Hertha BSC ,2,1,0,1,34
300,VfL Wolfsburg ,Bayern München ,2,2,1,2,34
301,Bayer 04 Leverkusen ,SC Freiburg ,2,1,0,0,34
302,1. FC Union Berlin ,VfL Bochum ,3,2,2,0,34
303,Bor. Mönchengladbach ,TSG Hoffenheim ,5,1,3,1,34
304,VfB Stuttgart ,1. FC Köln ,2,1,1,0,34
305,1. FSV Mainz 05 ,Eintracht Frankfurt ,2,2,1,2,34
306,FC Augsburg ,SpVgg Greuther Fürth ,2,1,1,1,34
307,Arminia Bielefeld ,RB Leipzig ,1,1,0,0,34
"
