,matchday,games,home,away
188,21,282,Arminia Bielefeld ,Hertha BSC 
189,22,157,Bayern München ,Bor. Mönchengladbach 
190,22,166,VfB Stuttgart ,RB Leipzig 
191,22,188,Hertha BSC ,VfL Bochum 
192,22,226,FC Augsburg ,1. FSV Mainz 05 
193,22,263,1. FC Union Berlin ,Eintracht Frankfurt 
194,22,269,Borussia Dortmund ,VfL Wolfsburg 
195,22,272,1. FC Köln ,Arminia Bielefeld 
196,22,273,SpVgg Greuther Fürth ,Bayer 04 Leverkusen 
197,22,284,TSG Hoffenheim ,SC Freiburg 
198,23,6,FC Augsburg ,TSG Hoffenheim 
199,23,29,Bor. Mönchengladbach ,Arminia Bielefeld 
200,23,53,VfL Bochum ,VfB Stuttgart 
201,23,55,1. FSV Mainz 05 ,1. FC Union Berlin 
202,23,69,SC Freiburg ,RB Leipzig 
203,23,163,1. FC Köln ,Bayern München 
204,23,165,VfL Wolfsburg ,Hertha BSC 
205,23,281,Bayer 04 Leverkusen ,Eintracht Frankfurt 
206,23,293,SpVgg Greuther Fürth ,Borussia Dortmund 
207,24,16,TSG Hoffenheim ,1. FC Union Berlin 
208,24,64,Bayer 04 Leverkusen ,Bayern München 
209,24,77,RB Leipzig ,SpVgg Greuther Fürth 
210,24,100,1. FSV Mainz 05 ,1. FC Köln 
211,24,101,Arminia Bielefeld ,VfL Wolfsburg 
212,24,111,Hertha BSC ,FC Augsburg 
213,24,232,Eintracht Frankfurt ,VfL Bochum 
214,24,257,VfB Stuttgart ,Borussia Dortmund 
215,24,274,SC Freiburg ,Bor. Mönchengladbach 
216,25,18,1. FC Köln ,VfL Bochum 
217,25,57,Bayern München ,Eintracht Frankfurt 
218,25,68,FC Augsburg ,Arminia Bielefeld 
219,25,80,VfL Wolfsburg ,SC Freiburg 
220,25,112,RB Leipzig ,Bayer 04 Leverkusen 
221,25,113,SpVgg Greuther Fürth ,TSG Hoffenheim 
222,25,231,1. FC Union Berlin ,VfB Stuttgart 
223,25,244,Bor. Mönchengladbach ,1. FSV Mainz 05 
224,25,300,Borussia Dortmund ,Hertha BSC 
225,26,7,VfB Stuttgart ,SpVgg Greuther Fürth 
226,26,58,Borussia Dortmund ,FC Augsburg 
227,26,124,TSG Hoffenheim ,Eintracht Frankfurt 
228,26,136,1. FSV Mainz 05 ,Hertha BSC 
229,26,145,Bayern München ,VfL Wolfsburg 
230,26,255,VfL Bochum ,Bayer 04 Leverkusen 
231,26,261,Bor. Mönchengladbach ,1. FC Köln 
232,26,288,SC Freiburg ,1. FC Union Berlin 
233,26,301,Arminia Bielefeld ,RB Leipzig 
234,27,28,Bayer 04 Leverkusen ,Borussia Dortmund 
235,27,31,RB Leipzig ,Bayern München 
236,27,34,TSG Hoffenheim ,1. FSV Mainz 05 
237,27,41,FC Augsburg ,Bor. Mönchengladbach 
238,27,59,Hertha BSC ,SC Freiburg 
239,27,137,Arminia Bielefeld ,VfL Bochum 
240,27,144,1. FC Köln ,VfB Stuttgart 
241,27,216,VfL Wolfsburg ,1. FC Union Berlin 
242,27,248,Eintracht Frankfurt ,SpVgg Greuther Fürth 
243,28,5,Borussia Dortmund ,Eintracht Frankfurt 
244,28,17,VfL Bochum ,1. FSV Mainz 05 
245,28,26,VfL Wolfsburg ,RB Leipzig 
246,28,45,1. FC Union Berlin ,Arminia Bielefeld 
247,28,162,Bor. Mönchengladbach ,Bayer 04 Leverkusen 
248,28,178,SC Freiburg ,VfB Stuttgart 
249,28,207,SpVgg Greuther Fürth ,1. FC Köln 
250,28,242,Hertha BSC ,TSG Hoffenheim 
251,28,258,Bayern München ,FC Augsburg 
252,29,3,Arminia Bielefeld ,SC Freiburg 
253,29,22,Bayern München ,Hertha BSC 
254,29,61,VfB Stuttgart ,TSG Hoffenheim 
255,29,94,RB Leipzig ,Borussia Dortmund 
256,29,118,1. FSV Mainz 05 ,VfL Wolfsburg 
257,29,150,SpVgg Greuther Fürth ,FC Augsburg 
258,29,152,VfL Bochum ,1. FC Union Berlin 
259,29,225,Bayer 04 Leverkusen ,1. FC Köln 
260,29,292,Eintracht Frankfurt ,Bor. Mönchengladbach 
261,30,0,1. FC Köln ,Hertha BSC 
262,30,20,1. FSV Mainz 05 ,SpVgg Greuther Fürth 
263,30,21,Arminia Bielefeld ,Eintracht Frankfurt 
264,30,84,Bor. Mönchengladbach ,VfL Bochum 
265,30,117,1. FC Union Berlin ,RB Leipzig 
266,30,122,Borussia Dortmund ,Bayern München 
267,30,203,FC Augsburg ,SC Freiburg 
268,30,287,VfB Stuttgart ,VfL Wolfsburg 
269,30,291,TSG Hoffenheim ,Bayer 04 Leverkusen 
270,31,15,SpVgg Greuther Fürth ,Arminia Bielefeld 
271,31,76,Hertha BSC ,Bor. Mönchengladbach 
272,31,87,FC Augsburg ,VfB Stuttgart 
273,31,107,TSG Hoffenheim ,RB Leipzig 
274,31,133,VfL Bochum ,Borussia Dortmund 
275,31,143,VfL Wolfsburg ,1. FC Köln 
276,31,146,Eintracht Frankfurt ,1. FSV Mainz 05 
277,31,149,SC Freiburg ,Bayer 04 Leverkusen 
278,31,234,Bayern München ,1. FC Union Berlin 
279,32,40,Borussia Dortmund ,1. FC Union Berlin 
280,32,60,RB Leipzig ,VfL Bochum 
281,32,75,Bayern München ,TSG Hoffenheim 
282,32,98,VfL Wolfsburg ,FC Augsburg 
283,32,103,Bor. Mönchengladbach ,SpVgg Greuther Fürth 
284,32,125,VfB Stuttgart ,Hertha BSC 
285,32,190,SC Freiburg ,1. FSV Mainz 05 
